zone_id,buildings_true,zone_type,completeness_true
0,180,1,0.7
1,189,1,0.7
2,203,1,0.7
3,160,1,0.7
4,664,2,0.35
5,170,1,0.7
6,191,1,0.7
7,206,1,0.7
8,587,0,0.95
9,480,0,0.95
10,554,2,0.35
11,561,2,0.35
12,183,1,0.7
13,452,0,0.95
14,546,0,0.95
15,466,0,0.95
16,459,0,0.95
17,201,1,0.7
18,689,2,0.35
19,631,2,0.35
20,612,2,0.35
21,578,0,0.95
22,449,0,0.95
23,189,1,0.7
24,605,2,0.35
25,729,2,0.35
26,667,2,0.35
27,590,0,0.95
28,172,1,0.7
29,181,1,0.7
30,154,1,0.7
31,160,1,0.7
32,173,1,0.7
33,182,1,0.7
34,179,1,0.7
35,163,1,0.7
