respondent,item_i,item_j,judgment
1,water,sanitation,9.0
1,water,roads,0.1429
1,water,electricity,0.3333
1,water,tenure,3.0
1,sanitation,roads,7.0
1,sanitation,electricity,0.3333
1,sanitation,tenure,4.0
1,roads,electricity,3.0
1,roads,tenure,5.0
1,electricity,tenure,4.0
2,water,sanitation,0.1667
2,water,roads,0.1667
2,water,electricity,0.5
2,water,tenure,8.0
2,sanitation,roads,0.125
2,sanitation,electricity,3.0
2,sanitation,tenure,4.0
2,roads,electricity,8.0
2,roads,tenure,0.125
2,electricity,tenure,0.125
3,water,sanitation,2.0
3,water,roads,7.0
3,water,electricity,5.0
3,water,tenure,5.0
3,sanitation,roads,0.3333
3,sanitation,electricity,0.3333
3,sanitation,tenure,0.1111
3,roads,electricity,6.0
3,roads,tenure,4.0
3,electricity,tenure,0.125
4,water,sanitation,0.3333
4,water,roads,9.0
4,water,electricity,1.0
4,water,tenure,0.1667
4,sanitation,roads,3.0
4,sanitation,electricity,2.0
4,sanitation,tenure,1.0
4,roads,electricity,0.25
4,roads,tenure,0.3333
4,electricity,tenure,2.0
5,water,sanitation,0.2
5,water,roads,0.25
5,water,electricity,3.0
5,water,tenure,4.0
5,sanitation,roads,9.0
5,sanitation,electricity,0.1667
5,sanitation,tenure,0.125
5,roads,electricity,4.0
5,roads,tenure,4.0
5,electricity,tenure,0.25
6,water,sanitation,1.0
6,water,roads,3.0
6,water,electricity,5.0
6,water,tenure,0.5
6,sanitation,roads,2.0
6,sanitation,electricity,3.0
6,sanitation,tenure,0.3333
6,roads,electricity,1.0
6,roads,tenure,0.2
6,electricity,tenure,0.2
7,water,sanitation,2.0
7,water,roads,3.0
7,water,electricity,4.0
7,water,tenure,0.5
7,sanitation,roads,2.0
7,sanitation,electricity,2.0
7,sanitation,tenure,0.3333
7,roads,electricity,2.0
7,roads,tenure,0.25
7,electricity,tenure,0.1429
8,water,sanitation,2.0
8,water,roads,2.0
8,water,electricity,4.0
8,water,tenure,0.5
8,sanitation,roads,2.0
8,sanitation,electricity,3.0
8,sanitation,tenure,0.3333
8,roads,electricity,1.0
8,roads,tenure,0.25
8,electricity,tenure,0.1111
9,water,sanitation,2.0
9,water,roads,2.0
9,water,electricity,5.0
9,water,tenure,0.5
9,sanitation,roads,2.0
9,sanitation,electricity,2.0
9,sanitation,tenure,0.5
9,roads,electricity,2.0
9,roads,tenure,0.25
9,electricity,tenure,0.1429
10,water,sanitation,2.0
10,water,roads,3.0
10,water,electricity,4.0
10,water,tenure,1.0
10,sanitation,roads,1.0
10,sanitation,electricity,3.0
10,sanitation,tenure,0.3333
10,roads,electricity,2.0
10,roads,tenure,0.2
10,electricity,tenure,0.125
11,water,sanitation,1.0
11,water,roads,2.0
11,water,electricity,3.0
11,water,tenure,0.5
11,sanitation,roads,2.0
11,sanitation,electricity,2.0
11,sanitation,tenure,0.3333
11,roads,electricity,1.0
11,roads,tenure,0.25
11,electricity,tenure,0.125
12,water,sanitation,2.0
12,water,roads,2.0
12,water,electricity,5.0
12,water,tenure,0.5
12,sanitation,roads,2.0
12,sanitation,electricity,3.0
12,sanitation,tenure,0.3333
12,roads,electricity,2.0
12,roads,tenure,0.2
12,electricity,tenure,0.1667
13,water,sanitation,2.0
13,water,roads,2.0
13,water,electricity,4.0
13,water,tenure,0.5
13,sanitation,roads,1.0
13,sanitation,electricity,3.0
13,sanitation,tenure,0.3333
13,roads,electricity,2.0
13,roads,tenure,0.25
13,electricity,tenure,0.1429
14,water,sanitation,1.0
14,water,roads,3.0
14,water,electricity,4.0
14,water,tenure,0.5
14,sanitation,roads,1.0
14,sanitation,electricity,2.0
14,sanitation,tenure,0.3333
14,roads,electricity,2.0
