respondent,water,sanitation,roads,electricity,tenure
1,3.37,2.95,3.69,3.69,2.82
2,2.4,3.16,3.48,3.47,1.0
3,2.5,2.35,3.19,4.55,3.13
4,2.88,3.43,2.74,3.66,2.26
5,3.6,2.24,2.5,2.57,1.0
6,2.76,2.95,4.15,3.92,2.99
7,2.49,2.24,3.98,3.81,1.2
8,1.62,2.68,3.18,3.82,1.0
9,3.75,2.99,3.33,2.72,1.75
10,3.95,3.08,2.79,4.12,2.76
11,3.6,2.34,2.66,3.92,1.76
12,3.84,1.47,2.37,5.0,2.38
13,3.88,3.5,2.67,3.02,2.79
14,2.31,3.12,3.23,3.29,1.0
15,3.53,2.86,3.47,3.54,1.0
16,3.55,1.8,4.08,3.12,1.77
17,3.06,3.16,4.05,4.03,1.49
18,3.56,1.86,3.98,4.47,1.33
19,3.81,2.16,2.66,4.28,2.55
20,2.68,1.54,1.86,4.98,1.76
21,3.44,3.54,2.93,2.71,1.84
22,3.07,2.68,3.05,3.81,1.0
23,2.87,2.28,3.04,3.97,1.38
24,2.2,1.9,3.45,3.7,1.72
25,2.68,3.19,4.41,2.55,1.54
