x,y,ndvi,bld_density,dist_water_m,impervious,elevation_m,lst_c
3536.0,10770.6,0.4645,0.3712,2053.9,0.4528,42.2,21.736
6367.0,4325.4,0.6903,0.6222,7862.2,0.6279,35.77,26.196
2298.2,11004.7,0.3781,0.2642,944.4,0.3888,46.26,21.615
814.8,5172.5,0.6628,0.2224,5371.4,0.408,33.88,21.47
9443.8,10702.1,0.6634,0.0901,7946.4,0.3657,52.78,21.368
7876.0,9032.9,0.7841,0.3817,6542.6,0.5537,51.53,22.841
7650.3,11911.9,0.8504,0.0993,6310.2,0.3366,58.38,21.571
6907.2,7953.9,0.7683,0.614,5976.7,0.6421,41.22,26.401
468.8,814.6,0.3055,0.0471,9740.1,0.2167,39.43,24.922
4293.8,3735.9,0.7401,0.5091,7318.3,0.5472,29.35,25.412
11348.2,7135.7,0.5199,0.1274,10407.0,0.4213,58.95,21.277
720.5,11814.4,0.3334,0.1,1528.2,0.3418,42.18,22.234
10368.5,10201.3,0.495,0.0766,8873.5,0.3662,55.52,21.297
10527.5,8864.0,0.4764,0.1342,9174.5,0.4431,57.63,21.397
614.3,1688.2,0.3813,0.0698,8856.2,0.3398,34.94,22.216
7829.0,2883.7,0.5336,0.273,9902.7,0.3888,27.17,22.654
6621.0,11592.7,0.8509,0.1971,5236.3,0.4006,57.35,21.959
7170.2,5910.0,0.7599,0.6819,7295.1,0.6913,40.09,27.808
5802.3,11620.2,0.7671,0.2519,4445.8,0.4157,64.52,21.518
3395.9,4731.8,0.878,0.511,6071.8,0.5725,29.15,24.321
3572.7,8657.6,0.5998,0.5424,2773.2,0.5494,37.86,22.699
6738.1,7954.8,0.7688,0.6299,5823.7,0.6071,42.5,26.543
4752.6,8647.0,0.6746,0.6181,3743.4,0.5727,37.07,25.077
9464.4,7284.0,0.6636,0.3276,8589.2,0.5412,48.59,23.31
5021.8,4178.4,0.753,0.6101,7236.4,0.5778,32.41,25.568
1726.8,7118.9,0.6983,0.38,3388.7,0.4711,24.74,21.631
1810.9,8411.6,0.569,0.3584,2111.5,0.3578,28.02,21.089
662.9,990.8,0.327,0.0566,9546.0,0.3058,34.32,24.568
8616.4,5253.4,0.763,0.4547,8841.4,0.5159,42.61,24.591
3507.8,9112.2,0.552,0.5042,2440.7,0.5911,37.51,22.974
2385.3,5490.2,0.8522,0.4256,5087.4,0.458,26.15,22.283
9976.4,2533.0,0.6637,0.0665,11632.8,0.3246,26.66,21.866
6815.9,976.2,0.2325,0.1029,10906.9,0.2918,27.53,25.76
988.1,8764.9,0.5217,0.2524,1809.0,0.4341,30.55,20.513
6540.0,3784.3,0.6199,0.5347,8396.5,0.5886,32.39,25.06
1907.5,10761.1,0.3833,0.2448,484.0,0.4192,39.11,20.406
8121.1,1397.9,0.3529,0.0556,11255.6,0.2163,18.32,23.159
1421.7,6702.5,0.706,0.3408,3798.3,0.4414,25.6,22.106
5340.0,9510.0,0.7028,0.5255,3965.5,0.6087,42.34,24.193
10655.8,4889.2,0.7987,0.1765,10738.2,0.3527,49.66,22.101
